id,category,difficulty,label,question,context,answer,hallucination_type,explanation,correct_answer
sample_001,history,medium,HALLUCINATED,Who was the first president of the United States?,Basic U.S. political history question.,George Washington founded the United States in 1776.,wrong_date,"The United States declared independence in 1776, but Washington served as president starting in 1789.",George Washington
sample_002,mathematics,easy,CORRECT,What is the value of pi rounded to two decimal places?,,3.14,,Pi is an irrational number; rounded to two decimals is 3.14.,3.14
sample_003,culture,medium,HALLUCINATED,Which artist painted the Mona Lisa?,Cultural knowledge check.,The Mona Lisa was painted by Leonardo da Vinci.,mixed_information,"This is generally true; to introduce a hallucination, mix in a false attribution or date.",Leonardo da Vinci painted the Mona Lisa; some scholars also attribute it to a contemporary painter.
sample_004,health,medium,CORRECT,What vitamin is primarily obtained from sunlight exposure on the skin?,Nutritional science concept.,Vitamin D,,"Sunlight triggers synthesis of vitamin D3 in the skin, which is important for calcium absorption and bone health.",Vitamin D
sample_005,health,easy,CORRECT,Which vitamin is primarily obtained from sunlight?,Nutrition and biology.,Vitamin D,,The skin produces vitamin D when exposed to sunlight.,Vitamin D
sample_006,culture,medium,HALLUCINATED,"The Mona Lisa was painted by which artist, commonly believed to have completed it in the early 1500s?",Art history.,"It was painted by Leonardo da Vinci in the early 1500s, often claimed to be completed in 1503.",wrong_date,"Most scholars date it to around 1503–1506, not definitively early 1500s; the date is debated, but the common belief is around 1503–1506.",Leonardo da Vinci (c. 1503–1506)
sample_007,current_events,medium,HALLUCINATED,Which country won the most recent FIFA World Cup?,Current events sports trivia.,France won the most recent FIFA World Cup.,fabricated_detail,Recent World Cup winner differs; this introduces a plausible but false fact.,Argentina won the most recent FIFA World Cup.
sample_008,current_events,hard,HALLUCINATED,Who is the current Secretary-General of the United Nations?,Contemporary politics,The current Secretary-General is António Guterres.,wrong_person,"As of the knowledge cutoff 2024-06, António Guterres is the Secretary-General; this entry would be a changed fact depending on current date.",António Guterres
sample_009,sports,easy,HALLUCINATED,Which country won the FIFA World Cup in 2018?,Recent sports history.,The 2018 World Cup was won by Brazil.,wrong_fact,"France won the 2018 FIFA World Cup, not Brazil.",France
sample_010,science,easy,CORRECT,What is the chemical symbol for water?,Common knowledge question about basic chemistry.,H2O,,"Water's chemical formula is H2O, consisting of two hydrogen atoms and one oxygen atom.",H2O
